mean_score,max_score,steps
1.9,6.0,70666
1.7,6.0,70828
1.8,6.0,71050
1.8,6.0,71315
1.6,4.0,71697
1.6,4.0,71897
1.6,4.0,72160
1.7,4.0,72461
1.9,4.0,72790
1.8,4.0,72950
1.7,4.0,73168
2.0,4.0,73476
2.1,4.0,73742
2.0,4.0,73944
1.7,3.0,74166
1.6,3.0,74333
1.6,3.0,74603
1.5,3.0,74872
1.3,3.0,75076
1.3,3.0,75245
1.2,3.0,75407
1.1,2.0,75672
1.2,3.0,75999
1.2,3.0,76193
1.1,3.0,76354
1.2,3.0,76577
1.0,3.0,76741
1.2,4.0,77140
1.2,4.0,77354
1.5,4.0,77696
1.5,4.0,77869
1.7,4.0,78234
1.6,4.0,78473
1.6,4.0,78693
1.7,4.0,78922
1.8,4.0,79182
2.0,4.0,79447
1.6,4.0,79605
1.6,4.0,79832
1.3,4.0,79992
1.4,4.0,80190
1.3,3.0,80515
1.3,3.0,80770
1.3,3.0,80991
1.3,3.0,81186
1.4,3.0,81542
1.2,3.0,81705
1.5,3.0,82062
1.6,3.0,82325
2.1,5.0,82725
2.2,5.0,82991
2.2,5.0,83321
2.1,5.0,83546
2.0,5.0,83704
1.9,5.0,83868
1.8,5.0,84130
2.3,5.0,84588
2.0,5.0,84755
1.9,5.0,84978
1.4,5.0,85138
1.2,5.0,85300
1.1,5.0,85565
1.3,5.0,85875
1.6,5.0,86204
1.9,5.0,86532
2.0,5.0,86843
1.6,3.0,87050
1.8,3.0,87313
1.7,3.0,87479
1.8,3.0,87706
1.9,3.0,87938
2.0,3.0,88244
1.7,3.0,88409
1.6,3.0,88705
1.5,3.0,88947
1.5,3.0,89271
1.6,3.0,89517
1.6,3.0,89752
1.6,3.0,89905
1.7,3.0,90148
1.7,3.0,90368
1.6,3.0,90631
1.7,3.0,90864
1.6,3.0,91084
1.4,3.0,91243
1.2,2.0,91462
1.3,3.0,91829
1.3,3.0,92070
1.4,3.0,92282
1.6,4.0,92625
1.6,4.0,92849
1.5,4.0,93055
1.8,4.0,93441
2.0,4.0,93716
2.2,4.0,93952
2.3,4.0,94219
2.2,4.0,94486
2.7,7.0,95053
2.9,7.0,95373
2.5,7.0,95537
2.6,7.0,95830
2.9,7.0,96199
2.9,7.0,96533
2.8,7.0,96793
3.0,7.0,97130
2.9,7.0,97332
3.3,7.0,97850
2.7,6.0,98081
2.4,6.0,98245
2.4,6.0,98407
2.4,6.0,98696
2.3,6.0,99053
2.1,6.0,99313
2.2,6.0,99649
2.1,6.0,99973
2.4,6.0,100332
1.9,4.0,100557
1.9,4.0,100777
2.1,4.0,101032
2.1,4.0,101200
2.0,4.0,101403
2.1,4.0,101778
2.2,4.0,102102
2.0,4.0,102323
2.1,4.0,102660
1.7,4.0,102821
2.2,6.0,103286
2.2,6.0,103512
2.0,6.0,103677
2.1,6.0,103901
2.2,6.0,104161
2.1,6.0,104497
2.1,6.0,104811
2.1,6.0,105029
2.0,6.0,105362
2.4,6.0,105717
1.9,4.0,105922
1.9,4.0,106142
2.2,4.0,106502
2.3,4.0,106775
2.2,4.0,107003
2.1,4.0,107272
2.1,4.0,107572
2.1,4.0,107775
1.9,4.0,107999
1.8,3.0,108326
2.0,3.0,108630
2.3,4.0,109015
2.5,5.0,109422
2.4,5.0,109627
2.6,5.0,109982
2.5,5.0,110205
2.4,5.0,110469
2.3,5.0,110632
2.5,5.0,110967
2.3,5.0,111164
2.4,5.0,111527
2.2,5.0,111815
1.9,4.0,112100
1.9,4.0,112299
2.0,4.0,112666
1.9,4.0,112833
2.0,4.0,113132
2.2,4.0,113390
2.0,4.0,113620
1.9,4.0,113788
1.7,4.0,114082
1.5,4.0,114244
1.5,4.0,114509
1.7,4.0,114842
1.6,3.0,115201
1.9,3.0,115532
1.9,3.0,115842
1.7,3.0,116008
1.9,3.0,116316
1.9,3.0,116479
2.0,3.0,116836
2.4,4.0,117240
2.5,4.0,117536
2.5,4.0,117872
2.4,4.0,118155
2.2,4.0,118381
2.1,4.0,118671
2.6,5.0,119133
2.3,5.0,119289
2.4,5.0,119495
2.3,5.0,119785
2.2,5.0,120114
2.0,5.0,120310
2.0,5.0,120637
2.0,5.0,120895
2.0,5.0,121117
1.9,5.0,121322
1.5,3.0,121521
1.6,3.0,121724
1.5,3.0,121891
1.5,3.0,122176
1.5,3.0,122475
1.7,3.0,122778
1.4,3.0,122941
1.5,3.0,123223
1.9,5.0,123675
1.9,5.0,123908
1.8,5.0,124076
1.7,5.0,124241
1.8,5.0,124470
1.6,5.0,124633
1.6,5.0,124961
1.3,5.0,125117
1.5,5.0,125385
1.2,5.0,125549
0.8,3.0,125770
0.8,3.0,125973
0.8,3.0,126138
0.9,3.0,126363
1.0,3.0,126628
1.3,3.0,126954
1.1,3.0,127158
1.3,3.0,127416
1.5,4.0,127756
1.6,4.0,127954
1.9,4.0,128316
1.9,4.0,128538
1.9,4.0,128704
2.2,4.0,129064
2.0,4.0,129240
2.0,4.0,129547
2.1,4.0,129840
2.0,4.0,130040
2.1,5.0,130451
2.1,5.0,130647
1.9,5.0,130887
1.9,5.0,131110
2.1,5.0,131378
2.1,5.0,131721
2.2,5.0,131920
2.1,5.0,132210
1.9,5.0,132367
2.0,5.0,132629
1.9,4.0,132982
2.0,4.0,133244
2.2,4.0,133620
2.2,4.0,133834
2.0,4.0,133998
2.3,7.0,134554
2.7,7.0,134950
2.6,7.0,135173
2.8,7.0,135457
2.9,7.0,135793
2.5,7.0,135951
2.8,7.0,136378
2.7,7.0,136680
2.7,7.0,136880
3.0,7.0,137212
2.9,6.0,137739
2.8,6.0,138070
3.0,6.0,138369
2.9,6.0,138590
2.8,6.0,138849
2.8,6.0,139013
2.6,6.0,139337
2.5,6.0,139612
2.9,6.0,140013
2.9,6.0,140363
2.4,5.0,140564
2.1,5.0,140761
2.1,5.0,141072
2.4,5.0,141408
2.5,5.0,141709
2.9,5.0,142065
2.8,5.0,142336
2.8,5.0,142597
2.4,4.0,142794
2.2,4.0,142999
2.2,4.0,143200
2.6,5.0,143628
2.6,5.0,143924
2.4,5.0,144178
2.4,5.0,144490
2.0,5.0,144656
2.0,5.0,144943
2.2,5.0,145313
2.2,5.0,145510
2.3,5.0,145794
2.4,5.0,146093
2.2,4.0,146407
2.0,4.0,146649
1.9,4.0,146847
1.6,4.0,147014
2.0,4.0,147398
2.2,4.0,147791
2.0,4.0,148063
2.3,4.0,148442
2.2,4.0,148670
2.1,4.0,148863
1.9,4.0,149063
2.0,4.0,149335
2.1,4.0,149628
2.2,4.0,149845
2.2,4.0,150218
2.1,4.0,150520
2.1,4.0,150788
1.7,4.0,150955
1.8,4.0,151244
1.9,4.0,151534
1.9,4.0,151762
2.1,4.0,152097
2.1,4.0,152385
2.4,4.0,152754
2.4,4.0,153142
2.3,4.0,153404
2.3,4.0,153689
2.8,5.0,154174
2.9,5.0,154502
3.1,5.0,154876
3.7,7.0,155242
3.5,7.0,155501
3.6,7.0,155811
3.4,7.0,156053
3.0,7.0,156216
2.9,7.0,156439
2.7,7.0,156611
2.5,7.0,156939
2.5,7.0,157262
2.4,7.0,157620
2.0,3.0,157980
2.0,3.0,158238
1.9,3.0,158509
1.9,3.0,158788
2.1,3.0,159089
2.3,3.0,159410
2.4,3.0,159608
2.6,5.0,160033
2.4,5.0,160238
2.4,5.0,160565
2.3,5.0,160833
2.5,5.0,161199
2.5,5.0,161466
2.3,5.0,161632
2.5,5.0,161997
2.5,5.0,162314
2.6,5.0,162577
2.3,4.0,162843
2.3,4.0,163041
2.3,4.0,163340
2.2,4.0,163546
1.9,4.0,163751
2.3,6.0,164228
2.6,6.0,164527
2.2,6.0,164691
2.0,6.0,164897
2.1,6.0,165232
2.1,6.0,165493
2.3,6.0,165826
2.4,6.0,166172
2.4,6.0,166375
2.3,6.0,166538
1.8,4.0,166767
1.8,4.0,167123
2.1,4.0,167424
2.4,4.0,167814
2.9,8.0,168324
3.0,8.0,168629
3.3,8.0,169073
3.2,8.0,169403
3.5,8.0,169767
4.1,8.0,170245
4.4,8.0,170602
4.1,8.0,170766
4.1,8.0,171090
3.9,8.0,171359
3.4,6.0,171663
3.8,7.0,172226
3.6,7.0,172614
3.4,7.0,172843
3.6,7.0,173369
3.2,7.0,173661
3.0,7.0,173945
3.2,7.0,174210
3.2,7.0,174487
3.3,7.0,174812
3.2,7.0,175069
2.7,6.0,175310
2.5,6.0,175610
2.4,6.0,175772
2.1,3.0,176108
2.1,3.0,176384
2.0,3.0,176606
2.1,3.0,176935
2.1,3.0,177265
2.5,7.0,177798
2.8,7.0,178233
3.0,7.0,178618
3.3,7.0,179012
3.3,7.0,179177
3.0,7.0,179343
2.8,7.0,179509
2.7,7.0,179671
3.2,8.0,180158
3.0,8.0,180396
2.8,8.0,180820
2.5,8.0,181106
2.2,8.0,181307
1.8,8.0,181536
1.8,8.0,181697
1.9,8.0,181924
2.3,8.0,182294
2.5,8.0,182563
2.2,5.0,182991
2.3,5.0,183236
1.9,5.0,183436
1.9,5.0,183698
1.9,5.0,183925
2.3,5.0,184377
2.4,5.0,184579
2.6,5.0,184882
2.3,5.0,185084
2.3,5.0,185355
2.5,7.0,185860
2.6,7.0,186182
2.8,7.0,186491
3.2,7.0,187017
3.3,7.0,187255
3.0,7.0,187545
3.8,9.0,188017
3.9,9.0,188379
3.9,9.0,188604
4.0,9.0,188929
3.4,9.0,189141
3.4,9.0,189448
3.4,9.0,189786
3.0,9.0,190049
3.0,9.0,190295
3.1,9.0,190618
2.7,5.0,191050
2.6,5.0,191400
3.0,5.0,191784
2.8,5.0,192014
2.9,5.0,192253
2.6,5.0,192414
2.6,5.0,192751
2.5,5.0,192953
2.6,5.0,193283
2.9,6.0,193779
2.9,6.0,194211
2.9,6.0,194573
3.1,7.0,195065
3.2,7.0,195357
3.3,7.0,195681
3.4,7.0,195907
3.5,7.0,196273
3.5,7.0,196524
3.6,7.0,196910
3.6,7.0,197399
3.2,7.0,197630
3.2,7.0,197950
3.0,6.0,198384
3.2,6.0,198752
3.0,6.0,198956
3.6,7.0,199484
3.8,7.0,199950
3.9,7.0,200211
3.7,7.0,200493
3.4,7.0,200807
3.4,7.0,201034
3.2,7.0,201244
3.0,7.0,201575
3.0,7.0,201967
3.1,7.0,202208
3.3,9.0,202845
2.9,9.0,203113
2.9,9.0,203379
3.1,9.0,203772
3.2,9.0,204179
3.6,9.0,204637
3.9,9.0,205013
3.9,9.0,205379
3.8,9.0,205714
3.9,9.0,205996
3.1,5.0,206218
3.1,5.0,206481
3.0,5.0,206710
3.0,5.0,207080
2.8,5.0,207354
2.7,4.0,207728
2.4,4.0,207963
2.2,4.0,208165
2.4,5.0,208612
2.5,5.0,208999
2.7,5.0,209296
2.8,5.0,209608
2.9,5.0,209874
2.8,5.0,210181
3.0,5.0,210575
2.7,5.0,210784
2.8,5.0,211063
3.6,9.0,211546
3.5,9.0,211943
3.7,9.0,212429
3.6,9.0,212707
3.4,9.0,212927
3.4,9.0,213185
3.6,9.0,213564
3.4,9.0,213827
3.8,9.0,214311
4.0,9.0,214685
3.4,6.0,215074
3.3,6.0,215409
3.0,5.0,215744
2.9,5.0,215947
2.8,5.0,216106
2.8,5.0,216399
2.4,5.0,216631
2.6,5.0,217054
2.6,5.0,217459
2.7,5.0,217900
2.7,5.0,218207
2.6,5.0,218442
2.7,5.0,218841
2.9,5.0,219202
2.9,5.0,219360
2.9,5.0,219624
2.8,5.0,219781
2.4,5.0,219945
2.3,5.0,220347
2.0,4.0,220602
2.3,6.0,221032
2.9,8.0,221657
2.8,8.0,221992
2.5,8.0,222155
2.6,8.0,222355
2.5,8.0,222554
2.5,8.0,222711
2.8,8.0,223044
2.7,8.0,223402
2.7,8.0,223663
2.7,8.0,224098
1.9,6.0,224259
1.6,6.0,224430
2.2,6.0,224904
2.6,6.0,225360
3.1,6.0,225870
3.6,6.0,226306
3.6,6.0,226607
3.5,6.0,226846
3.7,6.0,227216
3.4,6.0,227546
3.7,6.0,227903
3.7,6.0,228067
3.3,6.0,228332
3.3,6.0,228758
2.7,5.0,228921
2.8,6.0,229408
2.6,6.0,229610
2.7,6.0,229917
2.9,6.0,230405
2.9,6.0,230741
3.0,6.0,231124
3.1,6.0,231361
3.3,6.0,231700
2.9,6.0,231924
3.4,6.0,232365
2.9,6.0,232569
3.2,6.0,232891
3.4,6.0,233290
3.2,5.0,233629
3.0,5.0,233853
2.9,5.0,234156
3.1,5.0,234461
3.1,5.0,234831
3.4,5.0,235224
3.2,5.0,235534
3.3,5.0,235823
3.0,5.0,236015
2.7,4.0,236262
2.5,4.0,236525
2.9,5.0,237012
2.7,5.0,237234
2.6,5.0,237498
2.4,5.0,237769
2.5,5.0,238195
2.6,5.0,238581
2.9,5.0,238998
3.0,5.0,239291
3.1,5.0,239601
3.2,5.0,239911
3.4,7.0,240406
3.7,7.0,240760
3.7,7.0,241028
4.0,7.0,241415
3.8,7.0,241728
4.1,7.0,242269
4.0,7.0,242620
3.9,7.0,242845
3.8,7.0,243109
3.9,7.0,243529
3.6,7.0,243925
3.7,7.0,244349
3.9,7.0,244739
3.6,7.0,244996
3.5,7.0,245266
2.8,5.0,245425
3.2,8.0,246012
3.5,8.0,246435
3.4,8.0,246656
3.3,8.0,246956
3.1,8.0,247216
2.7,8.0,247420
2.7,8.0,247775
2.9,8.0,248164
3.3,8.0,248626
3.8,8.0,249089
3.6,6.0,249589
3.7,6.0,250007
4.2,6.0,250488
4.6,7.0,251052
4.5,7.0,251252
5.0,7.0,251789
4.9,7.0,252102
4.9,7.0,252502
4.9,7.0,252969
4.7,7.0,253320
4.6,7.0,253777
4.5,7.0,254171
4.5,7.0,254637
4.2,6.0,255033
4.2,6.0,255251
4.1,6.0,255718
4.3,6.0,256181
4.0,6.0,256386
4.2,8.0,256969
4.4,8.0,257424
4.2,8.0,257723
4.1,8.0,258049
3.9,8.0,258447
4.0,8.0,258813
4.0,8.0,259040
3.9,8.0,259403
4.0,8.0,259856
4.3,8.0,260198
3.6,6.0,260402
3.4,6.0,260690
3.3,6.0,260986
3.3,6.0,261320
3.3,6.0,261713
3.0,6.0,261980
3.8,9.0,262444
3.6,9.0,262697
3.4,9.0,263053
3.5,9.0,263507
3.8,9.0,263875
3.8,9.0,264182
3.9,9.0,264486
3.9,9.0,264809
4.0,9.0,265193
4.2,9.0,265561
3.5,5.0,265811
3.5,5.0,266077
3.7,6.0,266519
3.6,6.0,266890
3.5,6.0,267206
3.7,6.0,267593
3.7,6.0,267944
3.5,6.0,268182
3.1,6.0,268410
3.1,6.0,268771
3.0,6.0,268974
2.9,6.0,269173
2.6,5.0,269458
2.4,5.0,269719
2.3,5.0,269957
2.1,4.0,270234
2.2,4.0,270630
2.6,5.0,271078
2.6,5.0,271301
2.3,5.0,271504
2.5,5.0,271809
3.0,6.0,272335
2.9,6.0,272602
3.0,6.0,272891
3.0,6.0,273149
3.0,6.0,273470
2.9,6.0,273766
2.6,6.0,274032
2.7,6.0,274294
2.9,6.0,274627
3.4,8.0,275199
3.4,8.0,275641
3.9,8.0,276199
3.8,8.0,276497
4.2,8.0,276955
4.5,8.0,277430
4.9,8.0,277972
5.3,8.0,278426
5.3,8.0,278671
5.2,8.0,278932
4.9,7.0,279314
4.6,7.0,279645
4.1,7.0,279888
4.5,7.0,280362
4.3,7.0,280758
4.1,7.0,281121
4.0,6.0,281636
4.2,8.0,282231
4.4,8.0,282576
4.5,8.0,282897
4.3,8.0,283250
4.3,8.0,283581
4.3,8.0,283850
4.0,8.0,284157
4.0,8.0,284510
4.1,8.0,284935
4.1,8.0,285434
3.5,6.0,285703
3.5,6.0,286068
3.7,6.0,286483
3.5,6.0,286713
3.6,6.0,287088
3.8,6.0,287454
3.9,6.0,287805
3.9,6.0,288123
3.8,6.0,288473
4.0,8.0,289030
3.9,8.0,289257
3.8,8.0,289569
3.8,8.0,289982
4.2,8.0,290391
4.2,8.0,290756
4.3,8.0,291195
4.7,8.0,291777
4.9,8.0,292279
4.6,8.0,292476
4.6,8.0,293068
5.0,8.0,293551
5.2,8.0,293945
5.1,8.0,294285
5.2,8.0,294788
5.1,8.0,295120
5.0,8.0,295514
4.7,8.0,295948
4.5,8.0,296308
4.7,8.0,296604
4.4,6.0,297012
3.9,6.0,297171
3.8,6.0,297544
3.9,6.0,298038
3.6,5.0,298387
3.9,6.0,298891
3.9,6.0,299252
3.6,6.0,299495
3.8,6.0,299973
3.8,6.0,300252
3.8,6.0,300683
4.4,6.0,301150
4.3,6.0,301504
4.4,6.0,301981
4.1,6.0,302145
3.9,6.0,302537
3.9,6.0,302939
3.9,6.0,303218
4.2,9.0,303724
4.2,9.0,304041
3.7,9.0,304205
3.2,9.0,304405
3.3,9.0,304750
3.1,9.0,305120
3.1,9.0,305293
3.2,9.0,305721
3.0,9.0,305982
3.6,9.0,306584
3.1,8.0,306970
3.7,9.0,307544
4.2,9.0,307981
4.2,9.0,308188
4.1,9.0,308511
3.8,9.0,308742
4.0,9.0,309002
3.9,9.0,309389
3.9,9.0,309657
3.1,9.0,309820
3.0,9.0,310175
2.6,5.0,310608
2.8,7.0,311082
3.1,7.0,311474
3.5,7.0,311992
3.9,7.0,312427
4.1,7.0,312797
4.3,7.0,313280
4.1,7.0,313439
4.4,7.0,313742
4.7,7.0,314218
4.6,7.0,314579
4.2,7.0,314908
4.6,8.0,315573
4.4,8.0,316012
4.2,8.0,316321
4.1,8.0,316652
4.2,8.0,317175
4.5,8.0,317504
4.6,8.0,317880
4.3,8.0,318156
4.6,8.0,318683
4.5,8.0,318940
4.2,7.0,319405
4.3,7.0,319878
4.3,7.0,320208
4.5,7.0,320646
4.2,7.0,321042
4.3,7.0,321407
5.1,12.0,322026
4.8,12.0,322186
4.6,12.0,322573
4.8,12.0,322893
5.3,12.0,323580
5.5,12.0,324211
5.5,12.0,324494
5.3,12.0,324855
5.4,12.0,325305
5.4,12.0,325690
4.5,10.0,326013
5.4,10.0,326673
5.8,10.0,327281
5.6,10.0,327544
5.0,9.0,327905
4.7,9.0,328294
5.1,9.0,328836
5.2,9.0,329237
5.2,9.0,329680
5.1,9.0,330012
5.4,9.0,330459
4.8,9.0,330752
4.5,7.0,331203
4.8,7.0,331601
4.7,7.0,331898
4.7,7.0,332330
4.8,8.0,332991
6.0,16.0,333809
5.8,16.0,334107
5.8,16.0,334427
5.8,16.0,334942
6.0,16.0,335364
5.8,16.0,335703
5.6,16.0,336056
5.7,16.0,336411
5.5,16.0,336704
5.6,16.0,337344
4.4,9.0,337743
4.2,9.0,337966
4.2,9.0,338322
3.8,9.0,338613
3.6,9.0,338948
3.6,9.0,339293
3.9,9.0,339820
3.8,9.0,340121
3.8,9.0,340469
3.0,6.0,340673
3.6,10.0,341200
4.0,10.0,341634
4.3,10.0,342087
4.4,10.0,342431
4.9,10.0,342988
4.7,10.0,343223
4.6,10.0,343679
4.9,10.0,344131
5.3,10.0,344667
5.7,10.0,345113
4.9,8.0,345408
4.7,8.0,345755
4.5,8.0,346175
4.8,8.0,346623
4.1,7.0,346848
4.4,7.0,347255
4.4,7.0,347671
3.9,7.0,347873
4.0,8.0,348454
3.8,8.0,348794
4.3,8.0,349191
4.7,8.0,349741
4.6,8.0,350035
4.6,8.0,350491
4.8,8.0,350813
5.1,8.0,351396
4.7,8.0,351598
5.4,8.0,352235
5.4,8.0,352732
5.6,8.0,353109
5.5,8.0,353567
5.3,8.0,354005
5.2,8.0,354267
5.2,8.0,354760
5.6,8.0,355243
5.4,8.0,355752
6.1,8.0,356189
5.7,8.0,356576
5.6,8.0,357135
5.6,8.0,357541
5.4,8.0,357863
5.2,8.0,358191
5.3,8.0,358501
4.8,8.0,358702
5.5,14.0,359447
5.2,14.0,359782
5.2,14.0,360356
5.6,14.0,360858
5.6,14.0,361374
5.5,14.0,361750
5.5,14.0,362154
5.9,14.0,362727
6.1,14.0,363135
6.7,14.0,363616
6.9,16.0,364484
7.2,16.0,364993
7.1,16.0,365584
6.6,16.0,365914
6.7,16.0,366501
6.7,16.0,366902
7.0,16.0,367486
6.6,16.0,367837
6.8,16.0,368329
6.7,16.0,368745
5.8,8.0,369311
5.6,8.0,369690
5.6,8.0,370177
6.0,8.0,370664
5.9,7.0,371247
6.2,7.0,371745
6.1,7.0,372205
6.3,7.0,372657
6.1,7.0,373065
6.2,7.0,373610
6.0,7.0,374036
6.3,7.0,374587
6.0,7.0,374954
6.0,7.0,375482
5.6,7.0,375785
5.4,7.0,376211
5.3,7.0,376658
5.1,7.0,376958
4.7,7.0,377187
4.5,7.0,377632
4.4,7.0,378024
4.5,8.0,378573
4.3,8.0,378865
4.0,8.0,379204
4.3,8.0,379668
3.9,8.0,379892
3.6,8.0,380187
3.7,8.0,380561
3.8,8.0,380801
3.7,8.0,381217
3.7,8.0,381613
3.7,8.0,382181
3.9,8.0,382529
3.9,8.0,382913
3.9,8.0,383380
4.3,8.0,383754
5.0,9.0,384324
5.1,9.0,384745
5.7,9.0,385305
5.7,9.0,385638
5.8,9.0,386103
5.6,9.0,386637
5.8,9.0,387138
6.1,9.0,387664
5.8,9.0,387965
6.8,15.0,388782
6.3,15.0,389133
6.0,15.0,389392
5.4,15.0,389659
5.4,15.0,390063
5.1,15.0,390328
5.3,15.0,390953
5.0,15.0,391262
4.6,15.0,391596
5.0,15.0,392117
3.9,8.0,392484
3.6,8.0,392688
3.7,8.0,393027
4.0,8.0,393510
4.1,8.0,393904
4.7,8.0,394469
